# Region type : patch outlet
# Faces  :   1804
# Area   :   7.100642e-03
# Time       	sum(phi)
0.04185      	2.836265e-02
0.0419       	2.836264e-02
0.04195      	2.836265e-02
0.042        	2.836267e-02
0.04205      	2.836267e-02
0.0421       	2.836266e-02
0.04215      	2.836266e-02
0.0422       	2.836266e-02
0.04225      	2.836265e-02
0.0423       	2.836265e-02
0.04235      	2.836265e-02
0.0424       	2.836266e-02
0.04245      	2.836265e-02
0.0425       	2.836264e-02
0.04255      	2.836262e-02
0.0426       	2.836261e-02
0.04265      	2.836260e-02
0.0427       	2.836260e-02
0.04275      	2.836262e-02
0.0428       	2.836261e-02
0.04285      	2.836261e-02
0.0429       	2.836261e-02
0.04295      	2.836261e-02
0.043        	2.836261e-02
0.04305      	2.836262e-02
0.0431       	2.836261e-02
0.04315      	2.836261e-02
0.0432       	2.836260e-02
0.04325      	2.836262e-02
0.0433       	2.836263e-02
0.04335      	2.836264e-02
0.0434       	2.836263e-02
0.04345      	2.836261e-02
0.0435       	2.836263e-02
0.04355      	2.836264e-02
0.0436       	2.836264e-02
0.04365      	2.836266e-02
0.0437       	2.836265e-02
0.04375      	2.836265e-02
0.0438       	2.836267e-02
0.04385      	2.836268e-02
0.0439       	2.836267e-02
0.04395      	2.836268e-02
0.044        	2.836269e-02
0.04405      	2.836268e-02
0.0441       	2.836268e-02
0.04415      	2.836267e-02
0.0442       	2.836267e-02
0.04425      	2.836266e-02
0.0443       	2.836266e-02
0.04435      	2.836266e-02
0.0444       	2.836265e-02
0.04445      	2.836265e-02
0.0445       	2.836265e-02
0.04455      	2.836264e-02
0.0446       	2.836264e-02
0.04465      	2.836264e-02
0.0447       	2.836263e-02
0.04475      	2.836262e-02
0.0448       	2.836264e-02
0.04485      	2.836263e-02
0.0449       	2.836263e-02
0.04495      	2.836264e-02
0.045        	2.836263e-02
0.04505      	2.836263e-02
0.0451       	2.836263e-02
0.04515      	2.836263e-02
0.0452       	2.836262e-02
0.04525      	2.836263e-02
0.0453       	2.836264e-02
0.04535      	2.836264e-02
0.0454       	2.836263e-02
0.04545      	2.836262e-02
0.0455       	2.836263e-02
0.04555      	2.836263e-02
0.0456       	2.836262e-02
0.04565      	2.836263e-02
0.0457       	2.836263e-02
0.04575      	2.836263e-02
0.0458       	2.836264e-02
0.04585      	2.836265e-02
0.0459       	2.836264e-02
0.04595      	2.836263e-02
0.046        	2.836263e-02
0.04605      	2.836263e-02
0.0461       	2.836262e-02
0.04615      	2.836262e-02
0.0462       	2.836263e-02
0.04625      	2.836263e-02
0.0463       	2.836263e-02
0.04635      	2.836264e-02
0.0464       	2.836262e-02
0.04645      	2.836263e-02
0.0465       	2.836264e-02
0.04655      	2.836264e-02
0.0466       	2.836263e-02
0.04665      	2.836263e-02
0.0467       	2.836262e-02
0.04675      	2.836262e-02
0.0468       	2.836262e-02
0.04685      	2.836263e-02
0.0469       	2.836264e-02
0.04695      	2.836263e-02
0.047        	2.836262e-02
0.04705      	2.836261e-02
0.0471       	2.836261e-02
0.04715      	2.836262e-02
0.0472       	2.836264e-02
0.04725      	2.836264e-02
0.0473       	2.836262e-02
0.04735      	2.836260e-02
0.0474       	2.836259e-02
0.04745      	2.836260e-02
0.0475       	2.836260e-02
0.04755      	2.836259e-02
0.0476       	2.836259e-02
0.04765      	2.836259e-02
0.0477       	2.836258e-02
0.04775      	2.836258e-02
0.0478       	2.836258e-02
0.04785      	2.836258e-02
0.0479       	2.836255e-02
0.04795      	2.836254e-02
0.048        	2.836255e-02
0.04805      	2.836254e-02
0.0481       	2.836255e-02
0.04815      	2.836257e-02
0.0482       	2.836257e-02
0.04825      	2.836259e-02
0.0483       	2.836260e-02
0.04835      	2.836259e-02
0.0484       	2.836258e-02
0.04845      	2.836258e-02
0.0485       	2.836261e-02
0.04855      	2.836261e-02
0.0486       	2.836260e-02
0.04865      	2.836260e-02
0.0487       	2.836262e-02
0.04875      	2.836262e-02
0.0488       	2.836264e-02
0.04885      	2.836265e-02
0.0489       	2.836263e-02
0.04895      	2.836262e-02
0.049        	2.836264e-02
0.04905      	2.836266e-02
0.0491       	2.836263e-02
0.04915      	2.836263e-02
0.0492       	2.836263e-02
0.04925      	2.836265e-02
0.0493       	2.836264e-02
0.04935      	2.836265e-02
0.0494       	2.836264e-02
